rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
cost_le_0p03,1,1829,-5.62888246717397,-0.7705956975769462,50.57408419901586,0.9937649766321058,-45.642353798745766,-0.016883347010866075,4,8,30,84
cost_le_0p05,1,4032,-64.32499750233683,-8.806111445925236,50.66964285714286,0.9682159054932751,-95.60095675989875,-0.09211321459932387,3,8,37,88
ema8_aligned,1,9006,563.2448986122102,77.10839550903665,57.52831445702865,1.136096364169594,-54.48258457327023,1.4152851982515327,7,8,63,88
trend_aligned,1,7128,-510.31891884034553,-70.33735287035329,50.81369248035915,0.8659330567806056,-557.2178277327218,-0.12622954501752173,2,8,25,86
body_ge_45,1,9836,-738.9348208382122,-101.16039854241268,50.58967059780398,0.8597178286400181,-775.8651839805998,-0.1303839901971193,1,8,19,88
body_ge_60,1,7297,-543.0686683548452,-74.34626353695923,50.54131835000685,0.8609596238514696,-557.4391159841501,-0.13337109184686843,1,8,21,88
body_ge_70,1,5361,-349.4517905939904,-47.84005491546289,50.90468196232047,0.8770655920428754,-362.621356968903,-0.13192839857903205,0,8,25,87
base_body_low,1,4619,-440.3150211605485,-62.5535050481876,49.815977484303964,0.8253913962685617,-456.1854458466728,-0.1371229740398432,0,8,22,85
base_body_high,1,4192,-256.3145433145687,-35.08953783569949,51.288167938931295,0.8842250025903796,-286.9644877687712,-0.1222783282646937,1,8,30,87
tight_zone,1,6816,-686.6066614347017,-94.63512569397162,50.161384976525824,0.8168068253079169,-709.2321675819638,-0.1334332113229127,0,8,16,86
wide_zone,1,570,15.596186596373386,2.235677847066475,53.1578947368421,1.0582241115251838,-21.56898063722106,0.10365245741879989,5,8,40,84
impulse_ge_1p5,1,4764,-326.61147427545353,-44.71320876278464,50.545759865659114,0.8708536695015573,-339.50730146859723,-0.13170028617755777,0,8,25,86
impulse_ge_2,1,1616,-79.40516691905557,-11.285111757659552,51.23762376237624,0.9054258341494835,-89.32917781635506,-0.12633175445608308,2,8,38,85
fast_confirm_1,1,5897,-459.8059060961101,-63.375134793058194,50.551127692046805,0.8545948092008643,-473.14185116030035,-0.13394531605614976,0,8,25,87
fast_confirm_2,1,7968,-642.8062496895236,-88.5981066789051,50.42670682730924,0.8501971314539184,-659.6315426524212,-0.13431453917841218,0,8,18,87
fast_confirm_3,1,9697,-824.963687069822,-112.93777612528204,50.17015571826337,0.8427215295119183,-843.7355879721996,-0.13385446546910768,0,8,18,88
h1_stack_96,1,7525,-564.0751565105136,-78.07065210892955,50.498338870431894,0.8598623947803351,-576.1049820473186,-0.1355146276143767,0,8,23,87
h1_stack_30d,1,10948,-807.5823155248465,-110.55826114896935,50.73986116185605,0.8620075963175279,-825.3906245596442,-0.13394659190362565,0,8,17,88
intraday_stack_24h,1,11367,-846.5363155663723,-117.16460373649772,50.66420339579485,0.8607869805451224,-868.2763380262475,-0.13493930285240124,0,8,16,86
intraday_stack_7d,1,12742,-994.67960695485,-136.17193644687367,50.54151624548736,0.8546132054750695,-1018.751103416043,-0.13366555971352215,0,8,15,88
stack_score3,1,9636,-675.5195168114851,-93.4950752237192,50.81984225819842,0.8683916545249476,-687.0232179126327,-0.1360872133372482,0,8,20,87
stack_7d30d_score3,1,12266,-950.0259473788415,-130.05883706151494,50.56253057231371,0.8556631079290584,-964.3716465236383,-0.1348638126497708,0,8,14,88
orb_continuation,1,3210,11.959739823927194,1.77789783096842,54.17445482866044,1.0075790750159987,-64.72366259223476,0.027469054743847636,5,8,43,82
orb_reversal,1,2358,-402.9920405652903,-59.93193925752129,45.58948261238338,0.7082046425307291,-409.18673604535945,-0.14646598723297247,0,8,18,82
orb_inside,1,1642,-165.46016413089188,-24.606809832576655,49.14738124238733,0.8164855492631482,-174.44133048035616,-0.14106066357564057,0,8,26,82
ny_main_or_overlap,1,5391,-235.177827710584,-33.39762891574293,51.08514190317195,0.9156959068625425,-256.74819310467893,-0.13007931433475117,1,8,31,85
avoid_after_hours,1,10698,-686.903697386216,-97.54726884537924,50.90671153486633,0.8787894035549312,-732.0798317695255,-0.1332467643721255,2,8,22,85
recent_fvg_20,1,12194,-1003.1955227756933,-137.33776787624512,50.31982942430704,0.84753020971418,-1024.9536678612544,-0.13399412303467773,0,8,12,88
zone_fvg_overlap_100,1,12002,-872.7105545651685,-119.47433660229679,50.774870854857525,0.8638352807979711,-895.8206364279965,-0.13336859159517675,0,8,22,88
opposite_fvg_20,1,11561,-836.8546561565468,-114.56565335876263,50.774154484906155,0.8644355653943377,-878.0833758136802,-0.13047240901537377,1,8,22,88
ob_overlap_30d,1,5829,-394.7593533720252,-56.1471393376683,50.95213587236233,0.872492019588016,-427.80571590944226,-0.13124448143080328,1,8,25,85
ob_fvg_bos_overlap_30d,1,4033,-288.6588860123853,-41.05633104206532,50.830647160922396,0.8656444494882491,-305.52612995885954,-0.13437911529070765,2,8,29,85
risk_ge_10,1,1829,-5.62888246717397,-0.7705956975769462,50.57408419901586,0.9937649766321058,-45.642353798745766,-0.016883347010866075,4,8,30,84
risk_ge_15,1,911,-12.674371840271728,-1.7351253053445461,49.72557628979144,0.9720955355547639,-25.451321443134823,-0.06817427178472002,2,8,26,53
dir_demand,1,7057,-565.5033356644493,-77.94343145337362,50.33300269236219,0.8509388631847249,-588.8818690998804,-0.13235834815650202,1,8,19,86
dir_supply,1,6663,-544.897302617603,-74.5966041158469,50.45775176346991,0.848464707043111,-588.352375518676,-0.12678899112132333,1,8,21,88
cost_le_0p03 + cost_le_0p05,2,1829,-5.62888246717397,-0.7705956975769462,50.57408419901586,0.9937649766321058,-45.642353798745766,-0.016883347010866075,4,8,30,84
cost_le_0p03 + ema8_aligned,2,1203,152.79748507994265,20.918021523781505,56.94098088113051,1.2990528897149127,-9.86612838346983,2.120185417293832,7,8,43,79
cost_le_0p03 + trend_aligned,2,1015,11.162320844744647,1.5385047881294271,51.330049261083744,1.0225636053043403,-24.505436394182574,0.06278218283411831,6,8,28,76
cost_le_0p03 + body_ge_45,2,1328,0.43909736225427665,0.06011256055598747,50.67771084337349,1.0006736554951137,-34.424791041229604,0.0017461997222871257,5,8,30,79
cost_le_0p03 + body_ge_60,2,1024,-30.946914866400466,-4.2366419246449665,49.0234375,0.940343165780671,-39.23124662418005,-0.10799151924052615,3,8,33,77
cost_le_0p03 + body_ge_70,2,771,-21.832528386598735,-2.9888796826106403,49.0272373540856,0.9439682198975456,-32.92209574997595,-0.09078643429353442,5,8,30,70
cost_le_0p03 + base_body_low,2,593,-3.0648387556601726,-0.4381339943267625,50.5902192242833,0.9895345330231041,-28.04409732559173,-0.015623037862122305,4,8,32,63
cost_le_0p03 + base_body_high,2,591,20.78423641177892,2.8453681969273803,52.28426395939086,1.0741411603976923,-16.6738182156729,0.1706488675912766,6,8,30,68
cost_le_0p03 + tight_zone,2,655,-9.58074920808737,-1.320516471039212,50.229007633587784,0.9709882677621565,-36.84921777738276,-0.035835671709962755,3,8,19,52
cost_le_0p03 + wide_zone,2,183,11.995155466523169,1.7201533310355663,52.459016393442624,1.1521991123264563,-8.441165061666396,0.2037815062813125,5,8,30,67
cost_le_0p03 + impulse_ge_1p5,2,724,-9.733444328258644,-1.3325114471126198,50.0,0.9727597108375242,-33.745912611056085,-0.03948660279159416,3,8,36,75
cost_le_0p03 + impulse_ge_2,2,256,-10.841983336176213,-1.5529546719758283,48.4375,0.9151958865451724,-27.418918587421434,-0.056638071520743856,5,8,31,67
cost_le_0p03 + fast_confirm_1,2,788,-11.834901193040773,-1.6312066644370349,50.25380710659898,0.970012765610256,-23.733832086509658,-0.06872917354817787,4,8,28,70
cost_le_0p03 + fast_confirm_2,2,1044,15.145477932471849,2.0875040810699406,51.724137931034484,1.0298122000946552,-17.713385199740767,0.11784896322925846,5,8,33,74
cost_le_0p03 + fast_confirm_3,2,1273,-2.4653202256754714,-0.33750307812142655,50.667714061272584,0.9960739609387269,-30.898158760735317,-0.010923080586611454,4,8,31,80
cost_le_0p03 + h1_stack_96,2,1049,-29.64544944234398,-4.103069499361933,49.285033365109626,0.9440865641909417,-43.16699954903351,-0.09505107008193249,3,8,27,74
cost_le_0p03 + h1_stack_30d,2,1457,-18.77013982898174,-2.569637770815435,50.03431708991077,0.9741151079960731,-40.73147233524951,-0.06308727928284684,4,8,29,82
cost_le_0p03 + intraday_stack_24h,2,1539,0.6053240446049726,0.08377969203939607,50.877192982456144,1.0007994421286395,-27.05024700842749,0.003097187689757308,3,8,30,80
cost_le_0p03 + intraday_stack_7d,2,1692,-0.41516963283143626,-0.056836847223269156,50.76832151300237,0.999501458126476,-29.387061743973618,-0.0019340772384270313,5,8,32,82
cost_le_0p03 + stack_score3,2,1322,-6.967454470266841,-0.9643284370083227,50.60514372163388,0.9893405732374769,-28.743636615850818,-0.03354928431277687,3,8,34,78
cost_le_0p03 + stack_7d30d_score3,2,1630,-19.239843592214847,-2.633940356842756,50.122699386503065,0.9762795119252622,-35.61766406247801,-0.0739503958547782,2,8,30,82
cost_le_0p03 + orb_continuation,2,553,33.52146658234282,4.9933587557914825,53.70705244122965,1.1328749068324324,-13.240422311795168,0.3771298708005085,6,8,36,69
cost_le_0p03 + orb_reversal,2,366,-63.12164673690638,-9.798207169849151,41.53005464480874,0.7013107452855172,-71.88286936712495,-0.13630795843453464,1,7,16,54
cost_le_0p03 + orb_inside,2,243,-8.967382869847121,-1.4340352859945977,49.382716049382715,0.92817131310328,-18.288135249097007,-0.07841342304516283,2,7,17,42
cost_le_0p03 + ny_main_or_overlap,2,944,-9.677325455873452,-1.3834219658543165,50.105932203389834,0.9792028485319897,-31.269444987329244,-0.044241973799499665,4,8,33,77
cost_le_0p03 + avoid_after_hours,2,1465,22.76966018458286,3.2550365488919337,51.5358361774744,1.0321496672117414,-33.16347508445308,0.09815125045257646,5,8,30,78
cost_le_0p03 + recent_fvg_20,2,1632,5.431456635297783,0.7435680419949457,50.91911764705882,1.0067740289938603,-31.37981315994182,0.023695744719861946,5,8,32,82
cost_le_0p03 + zone_fvg_overlap_100,2,1619,13.5567946832569,1.8559292571437718,51.142680667078444,1.017182254277805,-33.16347866573957,0.05596304524775592,3,8,32,81
cost_le_0p03 + opposite_fvg_20,2,1570,2.7984573565825883,0.3831096512338045,50.76433121019108,1.0036280665108424,-43.49468562397163,0.008808194512449994,4,8,34,82
cost_le_0p03 + ob_overlap_30d,2,859,-22.444634086078267,-3.2186504122261823,49.359720605355065,0.9482363015970672,-42.27686612822724,-0.07613266325048552,4,8,27,69
cost_le_0p03 + ob_fvg_bos_overlap_30d,2,595,-28.821035205458795,-4.1346752194791145,48.403361344537814,0.9062701655130361,-38.91982362265949,-0.10623571318221152,4,8,25,62
cost_le_0p03 + risk_ge_10,2,1829,-5.62888246717397,-0.7705956975769462,50.57408419901586,0.9937649766321058,-45.642353798745766,-0.016883347010866075,4,8,30,84
cost_le_0p03 + risk_ge_15,2,911,-12.674371840271728,-1.7351253053445461,49.72557628979144,0.9720955355547639,-25.451321443134823,-0.06817427178472002,2,8,26,53
cost_le_0p03 + dir_demand,2,1014,-29.117199882806258,-4.013229153658485,49.21104536489152,0.9432034752638297,-41.487418966264016,-0.09673364247898597,3,8,33,76
cost_le_0p03 + dir_supply,2,815,23.48831741563229,3.2155576971737987,52.26993865030675,1.060206945225395,-28.21131112006029,0.11398115045022858,5,8,33,69
cost_le_0p05 + ema8_aligned,2,2652,327.21998491797353,44.796514052207584,57.57918552036199,1.2878725674210953,-19.353262128617523,2.314675105132138,6,8,60,88
cost_le_0p05 + trend_aligned,2,2166,13.885155949545911,1.9137936643666582,51.846722068328724,1.0130577981354412,-69.20804408429252,0.0276527633411477,3,8,41,86
cost_le_0p05 + body_ge_45,2,2947,6.513032104635549,0.8916360480577715,51.577875805904306,1.0044935961735593,-52.46670600194635,0.01699432108477888,4,8,41,88
cost_le_0p05 + body_ge_60,2,2240,13.802089919499677,1.8895102485372028,51.74107142857143,1.0125862552959706,-32.23117137008684,0.05862369154509919,4,8,40,88
cost_le_0p05 + body_ge_70,2,1696,11.420309510476088,1.5634437963648393,51.70990566037735,1.0137603204218624,-29.283024514746113,0.05339078945132641,5,8,42,86
cost_le_0p05 + base_body_low,2,1313,-55.929969649288395,-7.970511671635813,49.504950495049506,0.9173337355195923,-68.9943215724516,-0.11552416909072585,2,8,30,78
cost_le_0p05 + base_body_high,2,1247,37.640263746386125,5.152963393316167,52.8468323977546,1.0631599363538515,-28.599903272874336,0.1801741545819671,4,8,45,85
cost_le_0p05 + tight_zone,2,1498,-53.15879087018304,-7.32688617559787,49.86648865153538,0.9311373963943659,-75.98671771033759,-0.09642324864627079,1,8,35,82
cost_le_0p05 + wide_zone,2,345,32.416127168082404,4.646778040872095,55.072463768115945,1.220357448497883,-10.05248856719109,0.462251512131838,5,8,42,81
cost_le_0p05 + impulse_ge_1p5,2,1620,-39.58534911253161,-5.419246163175476,50.24691358024691,0.9514555050738789,-54.17356287768236,-0.10003488556607412,1,8,41,85
cost_le_0p05 + impulse_ge_2,2,605,-9.498758559553373,-1.3568328368701092,50.743801652892564,0.9682907596335436,-27.13532874026383,-0.05000244698922034,6,8,39,83
cost_le_0p05 + fast_confirm_1,2,1742,-62.37083278851771,-8.596583651323053,49.71297359357061,0.9300916816448952,-72.2239234958,-0.11902681598048279,2,8,37,86
cost_le_0p05 + fast_confirm_2,2,2323,-43.816456855796915,-6.039230515690499,50.62419285406802,0.962577952465829,-68.39700873242857,-0.08829670518656998,4,8,38,86
cost_le_0p05 + fast_confirm_3,2,2818,-57.48895834023401,-7.870255634846504,50.425833924769336,0.9595473678637126,-73.8520126197683,-0.10656792354958565,2,8,43,88
cost_le_0p05 + h1_stack_96,2,2389,-72.6370540137702,-10.053309578828937,49.937212222687315,0.9402313952319153,-83.45235515408288,-0.12046765558943105,3,8,40,87
cost_le_0p05 + h1_stack_30d,2,3247,-31.88329546581267,-4.36483270947829,50.93932861102556,0.980287390468086,-63.07119683511634,-0.06920484989192514,4,8,39,88
cost_le_0p05 + intraday_stack_24h,2,3388,-53.86164091955928,-7.454704185626762,50.70838252656434,0.9683245329309896,-84.62087755750328,-0.08809533061815616,3,8,38,86
cost_le_0p05 + intraday_stack_7d,2,3718,-55.08488452452247,-7.541137208613881,50.75309306078537,0.9704377165130844,-83.21067337889959,-0.09062704220978157,3,8,42,88
cost_le_0p05 + stack_score3,2,2935,-50.173114359100545,-6.944194778196845,50.63032367972743,0.9659868221121806,-76.14328340910541,-0.09119904563199387,3,8,41,87
cost_le_0p05 + stack_7d30d_score3,2,3588,-61.95107388092339,-8.48112059033256,50.58528428093646,0.9656245460499419,-76.69530776695547,-0.11058200087159296,3,8,41,88
cost_le_0p05 + orb_continuation,2,1240,89.37222205298785,13.2912068830838,55.16129032258065,1.1595854961360028,-20.909265587053387,0.6356611057307273,6,8,54,81
cost_le_0p05 + orb_reversal,2,805,-136.15282895806982,-20.306174265796244,42.608695652173914,0.7089097298930505,-139.64786632434186,-0.14540984262970222,0,8,23,78
cost_le_0p05 + orb_inside,2,538,-29.99892111684397,-4.5239908909691415,48.88475836431227,0.8933565557096578,-40.31681200500437,-0.11221102726097479,2,8,29,74
cost_le_0p05 + ny_main_or_overlap,2,2243,-18.1307654581465,-2.5777586934947485,51.04770396790014,0.9836654693794981,-35.211864197090335,-0.07320710653279631,2,8,38,85
cost_le_0p05 + avoid_after_hours,2,3346,8.293804908176565,1.1791795417327715,51.613867304243875,1.0050382065831582,-48.459157815899225,0.02433347162599446,4,8,38,85
cost_le_0p05 + recent_fvg_20,2,3583,-50.947046106143944,-6.9746658884067,50.73960368406364,0.9716484761597914,-72.3915025721915,-0.09634647217677661,3,8,38,88
cost_le_0p05 + zone_fvg_overlap_100,2,3553,-28.84607403981051,-3.9490361855475222,51.05544610188573,0.983680134613276,-78.2213257879385,-0.05048541616711452,3,8,35,88
cost_le_0p05 + opposite_fvg_20,2,3442,-34.44301347242983,-4.715258872115816,50.90063916327716,0.9799466676388213,-74.27563091012662,-0.06348325573728578,4,8,40,88
cost_le_0p05 + ob_overlap_30d,2,1794,-42.611240307369506,-6.060652461941866,50.16722408026756,0.9529695867840531,-70.44185089040664,-0.0860376663209918,3,8,38,85
cost_le_0p05 + ob_fvg_bos_overlap_30d,2,1221,-59.434635489562964,-8.45346597062417,48.976248976248975,0.9059698844232469,-72.2235408640906,-0.11704585332546633,2,8,34,84
cost_le_0p05 + risk_ge_10,2,1829,-5.62888246717397,-0.7705956975769462,50.57408419901586,0.9937649766321058,-45.642353798745766,-0.016883347010866075,4,8,30,84
cost_le_0p05 + risk_ge_15,2,911,-12.674371840271728,-1.7351253053445461,49.72557628979144,0.9720955355547639,-25.451321443134823,-0.06817427178472002,2,8,26,53
cost_le_0p05 + dir_demand,2,2168,-44.89449531836129,-6.18781676038923,50.32287822878229,0.9588675980776042,-58.77728899554035,-0.10527564074720631,4,8,41,86
cost_le_0p05 + dir_supply,2,1864,-19.43050218397555,-2.660041575223789,51.072961373390555,0.9791596011981325,-66.87077174069665,-0.039778837689186164,2,8,38,87
ema8_aligned + trend_aligned,2,4654,318.7634866272145,43.93523150588305,57.77825526428878,1.1498223243639398,-44.461876577303286,0.9881551317226887,7,8,58,86
ema8_aligned + body_ge_45,2,6438,415.8551225807374,56.93069097549263,57.48679714196956,1.1409280411427762,-42.91887807997496,1.3264720216919017,7,8,60,88
ema8_aligned + body_ge_60,2,4828,308.56345929504073,42.24243010026748,57.33222866611434,1.1392691085696356,-31.629172308437816,1.3355528146083775,7,8,60,88
ema8_aligned + body_ge_70,2,3607,252.29451030432807,34.53919411119034,57.52703077349598,1.1534301742630033,-33.16756456468703,1.0413545451559523,7,8,55,87
ema8_aligned + base_body_low,2,2830,220.65645839280504,31.34763571683082,58.515901060070675,1.1732001612739211,-25.82201323894556,1.2139888329679633,7,8,51,85
ema8_aligned + base_body_high,2,2992,146.01070987098845,19.98890996266062,56.71791443850267,1.104396835935617,-37.03114775455593,0.5397864007658632,6,8,56,87
ema8_aligned + tight_zone,2,4044,331.65341895429833,45.71185331058772,59.39663699307616,1.182967780756767,-40.36924652911394,1.1323434852226124,7,8,62,86
ema8_aligned + wide_zone,2,483,44.101167112645555,6.324283976401174,56.31469979296067,1.2095754150852431,-9.842365356119137,0.6425573271844941,6,8,42,84
ema8_aligned + impulse_ge_1p5,2,2850,263.57291534189187,36.08321114266342,58.49122807017544,1.209128480576484,-26.5628906021361,1.3584067970283975,8,8,62,86
ema8_aligned + impulse_ge_2,2,864,118.81614688648476,16.886224766649242,60.416666666666664,1.3301116207945671,-10.961486346282406,1.540505022147495,8,8,54,85
ema8_aligned + fast_confirm_1,2,4570,123.44002055931261,17.02018403521666,55.820568927789935,1.0564283604388716,-60.73552054893171,0.28023443087977334,6,8,49,87
ema8_aligned + fast_confirm_2,2,5890,224.58265506811748,30.954269722124494,56.36672325976231,1.0805743183725198,-54.314988530019676,0.5699029045180815,6,8,55,87
ema8_aligned + fast_confirm_3,2,6907,280.69826814138463,38.4276770759523,56.43550021717098,1.086192012489034,-65.40310347726748,0.5875512786531426,7,8,60,88
ema8_aligned + h1_stack_96,2,4729,371.76519733668425,51.454050142941995,58.17297525903996,1.1745335854249062,-36.850350175137734,1.3962974543904636,8,8,60,87
ema8_aligned + h1_stack_30d,2,7109,516.3676322432607,70.69088368697562,58.03910535940358,1.1600615016091873,-46.81543066015617,1.5099911010140392,7,8,65,88
ema8_aligned + intraday_stack_24h,2,7317,549.7256137885986,76.08460797130945,58.09758097580976,1.1659335435110574,-38.242260085248745,1.9895426630566142,8,8,60,86
ema8_aligned + intraday_stack_7d,2,8317,558.4364048545062,76.45011127177976,57.76121197547192,1.146927200173636,-47.318651395188134,1.6156443393387585,7,8,61,88
ema8_aligned + stack_score3,2,6169,490.21343738777506,67.8478431246248,58.25903712108932,1.1763105075474354,-36.113512036335706,1.8787384360834114,7,8,59,87
ema8_aligned + stack_7d30d_score3,2,7996,555.904082437926,76.10343557363286,57.87893946973487,1.152576016761349,-43.4899681276992,1.749907825873108,7,8,62,88
ema8_aligned + orb_continuation,2,2594,264.3038948626476,39.2905973132202,58.905165767154976,1.2329763140252366,-22.85072413791103,1.7194464856382479,7,8,56,82
ema8_aligned + orb_reversal,2,1085,56.51608093215516,8.40834971913225,57.14285714285714,1.1125216769806168,-40.95877040840411,0.20528813817631072,6,8,48,82
ema8_aligned + orb_inside,2,1018,92.6940634762474,13.785222591489969,58.7426326129666,1.204911237613529,-17.83899313108815,0.772757884382295,7,8,49,82
ema8_aligned + ny_main_or_overlap,2,3516,411.3682555410596,58.44117282628239,59.01592718998862,1.2717956237869357,-22.760298794593226,2.5676803874018237,8,8,62,85
ema8_aligned + avoid_after_hours,2,7040,546.5834033993237,77.65055935107078,57.92613636363636,1.171776479184775,-38.4749498328946,2.0182108017898583,8,8,63,85
ema8_aligned + recent_fvg_20,2,8130,469.03227133372957,64.2106585849493,57.24477244772448,1.1247217139294636,-47.35661328329836,1.3558963391411902,7,8,60,88
ema8_aligned + zone_fvg_overlap_100,2,7977,517.2494770737417,70.81160850868972,57.60310893819732,1.1414894755132403,-49.60967282523738,1.4273750354722459,7,8,65,88
ema8_aligned + opposite_fvg_20,2,7289,603.7461969701461,82.65303539855543,58.49910824530114,1.1846553639108395,-37.33671687881063,2.213719960082049,8,8,62,88
ema8_aligned + ob_overlap_30d,2,3783,283.75679733500397,40.359100555533566,58.10203542162306,1.1655904156640404,-31.456670845819545,1.2830060991942862,7,8,60,85
ema8_aligned + ob_fvg_bos_overlap_30d,2,2634,146.10772471089587,20.789188332939116,57.21336370539104,1.119725790849714,-37.78107106669279,0.5502540755459563,7,8,56,85
ema8_aligned + risk_ge_10,2,1203,152.79748507994265,20.918021523781505,56.94098088113051,1.2990528897149127,-9.86612838346983,2.120185417293832,7,8,43,79
ema8_aligned + risk_ge_15,2,607,70.11330101763454,9.598531932792735,56.01317957166392,1.2677839277224479,-9.806304206365327,0.9788123773033957,5,8,25,46
ema8_aligned + dir_demand,2,4643,291.44556247312994,40.169996865400265,57.44130949816929,1.1367771653960623,-45.81331363158075,0.8768192842027837,8,8,55,86
ema8_aligned + dir_supply,2,4363,271.79933613908037,37.20941061649142,57.620903048361214,1.1353738430537668,-42.492951690007,0.8756607657651115,7,8,60,88
trend_aligned + body_ge_45,2,5158,-338.10561942221653,-46.6011613184772,51.02753005040713,0.8765462787259762,-390.19321238131477,-0.11943098916066332,2,8,28,86
trend_aligned + body_ge_60,2,3840,-242.11041311298897,-34.39549917912066,51.06770833333333,0.881075889733586,-289.16323213448527,-0.11894838401558555,2,8,32,85
trend_aligned + body_ge_70,2,2809,-174.86940356063252,-24.84288201109336,51.014595941616236,0.8824257897206456,-209.78227843842808,-0.1184222146695048,2,8,29,85
trend_aligned + base_body_low,2,2499,-198.36429727390862,-28.1806921739771,50.50020008003201,0.852285733875088,-215.3201956149439,-0.1308780725072928,1,8,26,85
trend_aligned + base_body_high,2,2083,-127.78376393447392,-17.65910699094461,51.272203552568406,0.8839509179464594,-165.33945025108352,-0.10680516334200697,2,8,33,86
trend_aligned + tight_zone,2,3601,-287.211610190876,-39.586430423478284,51.15245765065259,0.8520437703549223,-314.4424250247247,-0.12589405014404653,1,8,27,86
trend_aligned + wide_zone,2,277,3.5339160571786947,0.5065788225606429,52.34657039711191,1.0265347900000763,-21.75201372107312,0.023288824154697674,5,8,35,81
trend_aligned + impulse_ge_1p5,2,2449,-171.33309510019973,-24.340495132379598,50.428746427113104,0.8684448738831098,-185.14022653815243,-0.13147059171046047,0,8,31,85
trend_aligned + impulse_ge_2,2,887,-41.89227386939924,-5.95375604311209,51.40924464487034,0.9087657850833677,-54.23937422420727,-0.10976815511368682,2,8,40,84
trend_aligned + fast_confirm_1,2,2959,-234.0290006769693,-32.2562613197219,50.55762081784386,0.8529152577161534,-257.43787037744835,-0.12529726598665789,2,8,31,86
trend_aligned + fast_confirm_2,2,4060,-291.33782181684967,-40.15514695041673,50.88669950738917,0.8657245920211009,-323.8865516657864,-0.12397904989847253,1,8,31,86
trend_aligned + fast_confirm_3,2,4977,-351.61339178724415,-48.46294013218525,50.874020494273665,0.8676460333885475,-383.28107230768825,-0.1264422994863687,1,8,26,86
trend_aligned + h1_stack_96,2,3801,-265.0873466548297,-37.64508295710596,50.64456721915286,0.8689780853517659,-292.75669451802554,-0.1285882907616587,1,8,27,85
trend_aligned + h1_stack_30d,2,5531,-356.36751879911117,-49.11820235523598,51.129994576026036,0.8784230735718691,-404.8599000629644,-0.1213214802147534,2,8,25,86
trend_aligned + intraday_stack_24h,2,5958,-414.06038676953835,-58.800760601700574,50.85599194360524,0.8695351830190601,-447.0468179313376,-0.1315315493661155,1,8,26,85
trend_aligned + intraday_stack_7d,2,6618,-482.236037009585,-66.46668396896261,50.74040495618012,0.8636612803704514,-521.379074967094,-0.12748245405352632,1,8,29,86
trend_aligned + stack_score3,2,4965,-345.61366378328194,-49.08063401899056,50.755287009063444,0.8693110625109954,-376.73421436762936,-0.1302792051987508,1,8,32,85
trend_aligned + stack_7d30d_score3,2,6309,-444.1038063770512,-61.210911426119985,50.847994927880805,0.8679879536616728,-481.9076039346074,-0.12701794063084762,2,8,29,86
trend_aligned + orb_continuation,2,2079,-13.784954974690109,-2.052570242358566,53.823953823953815,0.9866992160149132,-85.52476390695489,-0.02399971831072954,4,8,43,82
trend_aligned + orb_reversal,2,884,-157.3643670063492,-23.41235643546601,44.79638009049774,0.6978362683038222,-164.55747223372828,-0.14227464798567396,0,8,26,82
trend_aligned + orb_inside,2,853,-66.28911289996572,-9.878457154921453,50.293083235638925,0.8552872624995459,-96.71622917027251,-0.10213856805283487,2,8,34,82
trend_aligned + ny_main_or_overlap,2,2895,-14.897879841079096,-2.115649538084813,52.987910189982735,0.9896469583097255,-98.31418810752935,-0.02151926979014321,3,8,42,85
trend_aligned + avoid_after_hours,2,5589,-252.54879789369087,-35.864482282531334,51.79817498658078,0.9130623665892463,-328.94572591723164,-0.10902857054162014,2,8,32,85
trend_aligned + recent_fvg_20,2,6419,-457.26517991946525,-63.024946024748935,50.833463156254865,0.8666222051996403,-489.8001874062933,-0.128674809943405,2,8,28,86
trend_aligned + zone_fvg_overlap_100,2,6460,-426.9220386631343,-58.842745140267844,51.06811145510836,0.8754938283527339,-485.5036719173696,-0.12119938229897177,2,8,22,86
trend_aligned + opposite_fvg_20,2,5864,-369.33226939921093,-50.90513637662709,51.193724420191,0.8810286302500728,-431.4617429659796,-0.11798296652373398,2,8,29,86
trend_aligned + ob_overlap_30d,2,2787,-125.63680214095376,-17.869486753108784,51.991388589881595,0.9131911299988645,-209.43541166417535,-0.0853221841097344,3,8,35,85
trend_aligned + ob_fvg_bos_overlap_30d,2,1905,-132.5182126992074,-18.94413979975949,50.813648293963254,0.8691523879421732,-180.4611899855859,-0.10497625445821691,2,8,35,85
trend_aligned + risk_ge_10,2,1015,11.162320844744647,1.5385047881294271,51.330049261083744,1.0225636053043403,-24.505436394182574,0.06278218283411831,6,8,28,76
trend_aligned + risk_ge_15,2,516,-0.6792957177315273,-0.09387542977731379,50.58139534883721,0.9973312421499905,-21.55342675278561,-0.004355475853285424,3,8,21,42
trend_aligned + dir_demand,2,4039,-324.0148154858862,-44.675881976677964,50.33424114879921,0.8509431020552372,-347.63205457286665,-0.12851485180666364,1,8,25,86
trend_aligned + dir_supply,2,3089,-186.30410335445933,-27.045935512804558,51.440595662026546,0.8858907968967826,-230.16951675632134,-0.11750441975962385,2,8,31,84
body_ge_45 + body_ge_60,2,7297,-543.0686683548452,-74.34626353695923,50.54131835000685,0.8609596238514696,-557.4391159841501,-0.13337109184686843,1,8,21,88
