trades,net_r,avg_r_per_trade,avg_r_per_year,win_rate,profit_factor,max_drawdown_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,start,end,extra_cost_r_per_trade
1032,256.10667497371514,0.24816538272646815,32.01333437171439,0.6385658914728682,1.6837572732457418,-12.694926116838438,8,0,53,27,1.0362336998100448,82.34868128048608,-3.317753988560386,22.035946084435466,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.0
1032,250.9466749737152,0.24316538272646823,31.3683343717144,0.6385658914728682,1.6666615873836144,-12.84492611683838,8,0,53,27,0.6612336998100483,80.87368128048608,-3.362753988560385,21.840946084435465,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.005
1032,245.78667497371512,0.23816538272646814,30.72333437171439,0.6385658914728682,1.649734468667224,-12.994926116838414,8,0,52,28,0.28623369981004476,79.39868128048607,-3.407753988560386,21.645946084435465,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.01
1032,235.46667497371513,0.22816538272646814,29.43333437171439,0.6385658914728682,1.6163760573937818,-13.294926116838397,7,1,52,28,-0.46376630018995657,76.44868128048607,-3.4977539885603863,21.255946084435465,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.02
1032,225.1466749737151,0.21816538272646813,28.14333437171439,0.6385658914728682,1.5836627663160567,-13.594926116838415,7,1,51,29,-1.2137663001899566,73.49868128048607,-3.587753988560386,20.865946084435464,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.03
1032,204.5066749737151,0.1981653827264681,25.563334371714387,0.6385658914728682,1.520098108834085,-14.19492611683841,7,1,48,32,-2.713766300189958,67.59868128048606,-3.7677539885603863,20.085946084435463,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.05
1032,178.70667497371517,0.1731653827264682,22.338334371714396,0.6385658914728682,1.4439554721516736,-14.944926116838396,7,1,45,35,-4.588766300189953,60.61343889927528,-3.9927539885603855,19.110946084435465,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.075
1032,152.90667497371516,0.14816538272646818,19.113334371714394,0.6375968992248062,1.371239840857801,-15.85923233582411,7,1,44,36,-6.463766300189958,55.588438899275275,-4.2177539885603865,18.135946084435464,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.1
1032,101.30667497371519,0.0981653827264682,12.663334371714399,0.6356589147286822,1.2352423698799824,-17.85923233582411,5,3,42,38,-10.213766300189953,45.53843889927528,-4.73404731071466,16.185946084435464,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.15
1032,49.70667497371517,0.048165382726468184,6.213334371714396,0.6346899224806202,1.1105924637565832,-22.440119784832046,5,3,40,40,-13.963766300189954,35.48843889927527,-6.03404731071466,14.235946084435465,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00,0.2
