rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,3,0.5,2R,0,"(1,)",1558,232,0.675,-389.6,-0.14,0.414,-414.2,2/8,1.51,False
1h,3,0.5,2R,0,"(-1,)",1764,263,0.607,-541.8,-0.15,0.396,-553.6,0/8,1.48,False
1h,3,0.5,2R,0,"(1, -1)",3322,495,0.639,-931.5,-0.15,0.404,-945.2,0/8,1.5,False
1h,3,0.5,2R,1,"(1,)",790,118,0.667,-206.2,-0.13,0.414,-228.2,1/8,1.52,False
1h,3,0.5,2R,1,"(-1,)",611,92,0.698,-134.8,-0.14,0.435,-144.0,1/8,1.48,False
1h,3,0.5,2R,1,"(1, -1)",1401,209,0.68,-341.0,-0.14,0.423,-357.1,0/8,1.5,False
1h,3,0.5,3R,0,"(1,)",1558,232,0.895,-136.5,-0.1,0.383,-209.3,2/8,2.34,False
1h,3,0.5,3R,0,"(-1,)",1764,263,0.777,-336.7,-0.13,0.354,-377.2,1/8,2.29,False
1h,3,0.5,3R,0,"(1, -1)",3322,495,0.831,-473.2,-0.13,0.367,-534.0,1/8,2.31,False
1h,3,0.5,3R,1,"(1,)",790,118,0.857,-96.4,-0.11,0.37,-131.5,1/8,2.35,False
1h,3,0.5,3R,1,"(-1,)",611,92,0.903,-47.5,-0.09,0.391,-75.8,2/8,2.3,False
1h,3,0.5,3R,1,"(1, -1)",1401,209,0.876,-143.8,-0.11,0.379,-186.4,1/8,2.33,False
1h,4,0.05,2R,0,"(1,)",1482,221,0.593,-480.6,-0.14,0.42,-496.0,0/8,1.39,False
1h,4,0.05,2R,0,"(-1,)",1664,248,0.51,-669.1,-0.15,0.39,-683.3,1/8,1.35,False
1h,4,0.05,2R,0,"(1, -1)",3146,469,0.549,-1149.7,-0.15,0.404,-1156.6,0/8,1.37,False
1h,4,0.05,2R,1,"(1,)",750,112,0.616,-226.8,-0.14,0.443,-250.3,1/8,1.39,False
1h,4,0.05,2R,1,"(-1,)",579,87,0.561,-196.3,-0.15,0.413,-202.1,1/8,1.35,False
1h,4,0.05,2R,1,"(1, -1)",1329,198,0.593,-423.1,-0.15,0.43,-434.8,1/8,1.37,False
1h,4,0.05,3R,0,"(1,)",1482,221,0.771,-297.1,-0.12,0.379,-366.9,2/8,2.17,False
1h,4,0.05,3R,0,"(-1,)",1664,248,0.685,-468.3,-0.14,0.361,-491.9,1/8,2.11,False
1h,4,0.05,3R,0,"(1, -1)",3146,469,0.725,-765.4,-0.14,0.369,-795.1,1/8,2.14,False
1h,4,0.05,3R,1,"(1,)",750,112,0.77,-152.9,-0.12,0.383,-189.0,2/8,2.17,False
1h,4,0.05,3R,1,"(-1,)",579,87,0.792,-101.8,-0.13,0.402,-115.7,2/8,2.11,False
1h,4,0.05,3R,1,"(1, -1)",1329,198,0.779,-254.6,-0.13,0.391,-291.5,2/8,2.15,False
1h,4,0.1,2R,0,"(1,)",1492,222,0.603,-470.5,-0.14,0.419,-487.8,0/8,1.41,False
1h,4,0.1,2R,0,"(-1,)",1678,250,0.528,-640.8,-0.15,0.393,-651.3,0/8,1.37,False
1h,4,0.1,2R,0,"(1, -1)",3170,472,0.563,-1111.3,-0.15,0.405,-1116.7,0/8,1.39,False
1h,4,0.1,2R,1,"(1,)",757,113,0.624,-224.4,-0.13,0.439,-247.9,1/8,1.41,False
1h,4,0.1,2R,1,"(-1,)",583,87,0.564,-196.2,-0.15,0.408,-201.3,1/8,1.37,False
1h,4,0.1,2R,1,"(1, -1)",1340,200,0.599,-420.6,-0.15,0.425,-431.2,0/8,1.39,False
1h,4,0.1,3R,0,"(1,)",1492,222,0.78,-286.0,-0.12,0.376,-346.0,1/8,2.19,False
1h,4,0.1,3R,0,"(-1,)",1678,250,0.698,-448.6,-0.14,0.362,-472.2,1/8,2.14,False
1h,4,0.1,3R,0,"(1, -1)",3170,472,0.736,-734.6,-0.14,0.368,-758.9,1/8,2.16,False
1h,4,0.1,3R,1,"(1,)",757,113,0.779,-147.3,-0.12,0.38,-180.9,2/8,2.2,False
1h,4,0.1,3R,1,"(-1,)",583,87,0.794,-100.9,-0.13,0.396,-115.6,2/8,2.14,False
1h,4,0.1,3R,1,"(1, -1)",1340,200,0.786,-248.1,-0.13,0.387,-279.8,2/8,2.17,False
1h,4,0.25,2R,0,"(1,)",1516,226,0.619,-457.9,-0.14,0.415,-475.1,0/8,1.45,False
1h,4,0.25,2R,0,"(-1,)",1722,257,0.565,-600.2,-0.15,0.398,-609.9,1/8,1.42,False
1h,4,0.25,2R,0,"(1, -1)",3238,482,0.59,-1058.0,-0.15,0.406,-1064.0,0/8,1.44,False
1h,4,0.25,2R,1,"(1,)",765,114,0.625,-228.0,-0.13,0.427,-252.1,1/8,1.46,False
1h,4,0.25,2R,1,"(-1,)",594,89,0.617,-171.7,-0.14,0.426,-177.9,1/8,1.42,False
1h,4,0.25,2R,1,"(1, -1)",1359,203,0.622,-399.7,-0.14,0.427,-412.0,0/8,1.44,False
1h,4,0.25,3R,0,"(1,)",1516,226,0.861,-177.3,-0.1,0.388,-256.5,2/8,2.26,False
1h,4,0.25,3R,0,"(-1,)",1722,257,0.718,-427.3,-0.14,0.356,-462.3,1/8,2.2,False
1h,4,0.25,3R,0,"(1, -1)",3238,482,0.783,-604.7,-0.14,0.371,-665.8,1/8,2.23,False
1h,4,0.25,3R,1,"(1,)",765,114,0.84,-104.9,-0.11,0.383,-142.7,2/8,2.26,False
1h,4,0.25,3R,1,"(-1,)",594,89,0.839,-79.5,-0.13,0.394,-95.1,2/8,2.21,False
1h,4,0.25,3R,1,"(1, -1)",1359,203,0.839,-184.4,-0.12,0.388,-224.9,1/8,2.24,False
1h,4,0.5,2R,0,"(1,)",1558,232,0.675,-389.6,-0.14,0.414,-414.2,2/8,1.51,False
1h,4,0.5,2R,0,"(-1,)",1764,263,0.607,-541.8,-0.15,0.396,-553.6,0/8,1.48,False
1h,4,0.5,2R,0,"(1, -1)",3322,495,0.639,-931.5,-0.15,0.404,-945.2,0/8,1.5,False
1h,4,0.5,2R,1,"(1,)",790,118,0.667,-206.2,-0.13,0.414,-228.2,1/8,1.52,False
1h,4,0.5,2R,1,"(-1,)",611,92,0.698,-134.8,-0.14,0.435,-144.0,1/8,1.48,False
1h,4,0.5,2R,1,"(1, -1)",1401,209,0.68,-341.0,-0.14,0.423,-357.1,0/8,1.5,False
1h,4,0.5,3R,0,"(1,)",1558,232,0.895,-136.5,-0.1,0.383,-209.3,2/8,2.34,False
1h,4,0.5,3R,0,"(-1,)",1764,263,0.777,-336.7,-0.13,0.354,-377.2,1/8,2.29,False
1h,4,0.5,3R,0,"(1, -1)",3322,495,0.831,-473.2,-0.13,0.367,-534.0,1/8,2.31,False
1h,4,0.5,3R,1,"(1,)",790,118,0.857,-96.4,-0.11,0.37,-131.5,1/8,2.35,False
1h,4,0.5,3R,1,"(-1,)",611,92,0.903,-47.5,-0.09,0.391,-75.8,2/8,2.3,False
1h,4,0.5,3R,1,"(1, -1)",1401,209,0.876,-143.8,-0.11,0.379,-186.4,1/8,2.33,False
